Date,Type,English,Greek
05-23,Saint,"Michael the Confessor, bishop of Synnada","Μιχαὴλ ὁμολογητοῦ, ἐπ. Συννάδων"
05-23,Saint,Myrrh-bearer Mary of Cleopas,Μαρίας μυροφόρου τοῦ Κλωπᾶ
05-24,Saint,Ven. Symeon Stylite of the Wondrous Mountain,Συμεὼν ὁσ. τοῦ Θαυμαστορείτου
05-24,Saint,Ven. Vincent of Lerins,"Βικεντίου ὁσ., τῆς Λερένης"
05-25,Saint,3rd Finding of the Precious Head of St. John the Baptist,Γ΄ εὕρεσις τῆς τιμίας κεφαλῆς Ἰωάννου τοῦ Προδρόμου
05-26,Saint,Apostles Carpos & Alphaeos of the 70,Κάρπου & Ἀλφαίου ἀποστόλων ἐκ τῶν 70
05-27,Saint,"John the Russian, the Confessor",Ἰωάννου ὁμολογητοῦ τοῦ Ρώσσου
05-27,Saint,Hieromartyr Helladios,Ἑλλαδίου ἱερομάρτυρος
05-28,Saint,"Hieromartyr Eutyches, bishop of Melitene","Εὐτυχοῦς ἱερομάρτυρος, ἐπισκ. Μελιτηνῆς"
05-28,Saint,Andrew the fool-for-Christ,Ἀνδρέου τοῦ διὰ Χριστὸν σαλοῦ
05-29,Saint,Virgin-martyr Theodosia,Θεοδοσίας παρθενομάρτυρος
05-29,Saint,Ven. Ypomoni,Ὑπομονῆς ὁσίας
05-30,Saint,Ven. Isaakios of Constantinople,Ἰσαακίου ὁσίου ΚΠόλεως
05-30,Saint,"Emmelia, mother of St. Basil the Great","Ἐμμελείας, μητρὸς τοῦ Μεγ. Βασιλείου"
05-31,Saint,Martyr Hermias,Ἑρμείου μάρτυρος
05-31,Saint,Five martyrs of Ascalon,Τῶν ἐν Ἀσκάλωνι 5 μαρτύρων
06-01,Saint,Martyr Justin the Philosopher,Ἰουστίνου τοῦ φιλοσόφου & μάρτυρος
06-01,Saint,Ven. Agapitos of Kiev,Ἀγαπητοῦ ὁσίου τοῦ Κιέβου
06-02,Saint,"Nikiphoros, patriarch of Constantinople","Νικηφόρου, Πατρ. ΚΠόλεως"
06-02,Saint,Hieromartyr Erasmos,Ἐράσμου ἱερομάρτυρος
06-03,Saint,Martyr Lucillian and his companions & Paula the Virgin,Λουκιλλιανοῦ & τῶν σὺν αὐτῷ μαρτύρων & Παύλης τῆς παρθένου
06-04,Saint,"Metrophanis, patriarch of Constantinople","Μητροφάνους, Πατρ. ΚΠόλεως"
06-04,Saint,"Martha & Mary, sisters of Lazaros","Μάρθας & Μαρίας, ἀδελφῶν τοῦ Λαζάρου"
06-05,Saint,"Hieromartyr Dorotheos, bishop of Tyre","Δωροθέου ἱερομάρ., ἐπ. Τύρου"
06-05,Saint,Martyr Nicander,Νικάνδρου μάρτυρος
06-06,Saint,Ven. Ilarion of Dalmatian Monastery,Ἱλαρίωνος ὁσίου Μ. Δαλμάτων
06-06,Saint,Martyr Gelasios,Γελασίου μάρτυρος
06-07,Saint,Hieromartyr Theodotos of Ancyra,Θεοδότου ἱερομάρτυρος Ἀγκύρας
06-07,Saint,Martyr Zenaida,Ζηναΐδος μάρτυρος
06-08,Saint,Translation of the relics of Great-martyr Theodore the General,Ἀνακομιδὴ τῶν λειψάνων Θεοδώρου τοῦ Στρατηλάτου
06-08,Saint,Martyr Kalliopi,Καλλιόπης μάρτυρος
06-09,Saint,"Cyril, archbishop of Alexandria","Κυρίλλου, ἀρχιεπ. Ἀλεξανδρείας"
06-09,Saint,Virgin-martyrs Thekla & 4 companions,Θέκλης & 4 παρθενομαρτύρων
06-10,Saint,Martyrs Alexander & Antonina,Ἀλεξάνδρου & Ἀντωνίνης τῶν μαρτύρων
06-10,Saint,Ven. Theophanis & Pansemni,Θεοφάνους & Πανσέμνης ὁσίων
06-11,Saint,Ap. Bartholomew & Barnabas,Βαρθολομαίου & Βαρνάβα ἀπ.
06-11,Saint,Icon of the Theotokos “It Is Meet”,Εἰκόνος τῆς Παναγίας τοῦ “Ἄξιόν ἐστιν”
06-11,Saint,"Luke, archb. of Simferopol","Λουκᾶ, ἀρχιεπ. Συμφερουπόλεως"
06-12,Saint,Onuphrios the Great,Ὀνουφρίου τοῦ Μεγάλου
06-12,Saint,Ven. Peter of Mt. Athos,Πέτρου ὁσίου τοῦ Ἀθωνίτου
06-13,Saint,Martyr Aquilina,Ἀκυλίνης μάρτυρος
06-13,Saint,"Antipater, bishop of Bostra","Ἀντιπάτρου, ἐπισκόπου Βόστρων"
06-14,Saint,Prophet Elisha,Ἐλισσαίου τοῦ προφήτου
06-14,Saint,"Methodios, patriarch of Constantinople",Μεθοδίου Πατρ. ΚΠόλεως
06-15,Saint,Prophet Amos,Ἀμὼς τοῦ προφήτου
06-15,Saint,Augustine & his mother Monica,Αὐγουστίνου ἐπ. Ἱππῶνος & Μονίκης τῆς μητρὸς αὐτοῦ
06-15,Saint,Ven. Jerome of Stridon,Ἱερωνύμου ὁσίου τοῦ ἐν Στριδώνι
06-16,Saint,"Tikhon, bishop of Amathus of Cyprus","Τύχωνος, ἐπισκόπου Ἀμαθοῦντος τῆς Κύπρου"
06-17,Saint,"Martyrs Manuel, Sabel & Ismael","Μανουήλ, Σαβὲλ & Ἰσμαὴλ τῶν μαρτύρων"
06-18,Saint,"Martyrs Leontios, Hypatios & Theodulos","Λεοντίου, Ὑπατίου & Θεοδούλου τῶν μαρτύρων"
06-19,Saint,"Apostle Jude, the Lord’s brother",Ἰούδα ἀποστόλου τοῦ ἀδελφοθέου
06-19,Saint,Paisios the Great,Παϊσίου τοῦ Μεγάλου
06-20,Saint,Hieromartyr Methodios of Patara,Μεθοδίου ἱερομάρτ. Πατάρων
06-20,Saint,Nicholas Cabasilas,Νικολάου τοῦ Καβάσιλα
06-21,Saint,Martyr Julian of Tarsus,"Ἰουλιανοῦ μάρτ., τοῦ Ταρσέως"
06-21,Saint,"Hierom. Terence, bishop of Iconium","Τερεντίου ἱερομάρτυρος, ἐπισκόπου Ἰκονίου"
06-22,Saint,Hieromartyr Eusebios of Samosata,Εὐσεβίου ἱερομ. Σαμοσάτων
06-22,Saint,Martyrs Zeno & Zenas,Ζήνωνος & Ζηνᾶ τῶν μαρτύρων
06-23,Saint,Virgin-martyr Agrippina,Ἀγριππίνης μάρτυρος
06-23,Saint,Vladimir Icon of the Theotokos,Εἰκόνος τῆς Παναγίας “τοῦ Βλαδιμήρ”
06-24,Saint,Nativity of John the Baptist & Forerunner,Γενέσιον Ἰωάννου τοῦ Προδρόμου & Βαπτιστοῦ
06-25,Saint,Virgin-martyr Fevronia,Φεβρωνίας παρθενομάρτυρος
06-25,Saint,Ven. Dionysios & Dometios of Mt. Athos,"Διονυσίου & Δομετίου ὁσίων, τῶν ἐν Ἄθῳ"
06-26,Saint,Ven. David of Thessalonica,Δαβίδ ὁσίου τοῦ ἐν Θεσσαλονίκῃ
06-26,Saint,"John, bishop of Gotthia","Ἰωάννου, ἐπισκόπου Γοτθίας"
06-27,Saint,Ven. Sampson the Hospitable,Σαμψὼν ὁσίου τοῦ Ξενοδόχου
06-27,Saint,Joanna the Myrrh-bearer,Ἰωάννας τῆς μυροφόρου
06-28,Saint,Finding of the relics of Unmercenaries Cyrus & John,Ἀνακομιδὴ λειψάνων Κύρου & Ἰωάννου τῶν Ἀναργύρων
06-29,Saint,Apostles Peter & Paul,Πέτρου & Παύλου τῶν Πρωτοκορυφαίων Ἀποστόλων
06-30,Saint,Synaxis of the 12 Apostles,Ἡ σύναξις τῶν 12 Ἀποστόλων
07-01,Saint,Unmercenaries Cosmas & Damian,Κοσμᾶ & Δαμιανοῦ τῶν Ἀναργύρων
07-02,Saint,Placing of Precious Robe of Theotokos in Blachernae,Κατάθεσις τῆς Τιμίας Ἐσθῆτος τῆς Θεοτόκου ἐν Βλαχέρναις
07-02,Saint,"John Maximovitch, archb. of San Francisco","Ἰωάννου Μαξίμοβιτς, ἀρχιεπ. Σὰν Φραντσίσκο"
07-03,Saint,Martyr Hyacinth,Ὑακίνθου μάρτυρος
07-03,Saint,"Anatolios, patriarch of Constantinople","Ἀνατολίου, Πατρ. ΚΠόλεως"
07-04,Saint,"Andrew, archbishop of Crete","Ἀνδρέου, ἀρχιεπισκόπου Κρήτης"
07-04,Saint,"Hieromartyr Theodore, bishop of Cyrene","Θεοδώρου ἱερομ., ἐπ. Κυρήνης"
07-05,Saint,Athanasios of Athos,Ἀθανασίου τοῦ Ἀθωνίτου
07-05,Saint,Ven. Lampados,Λαμπαδοῦ ὁσίου
07-06,Saint,Sisoes the Great,Σισώη τοῦ Μεγάλου
07-06,Saint,Virgin-martyr Lucia,Λουκίας τῆς παρθενομάρτυρος
07-07,Saint,Great-martyr Kyriaki,Κυριακῆς μεγαλομάρτυρος
07-07,Saint,Ven. Thomas of Mt. Maleon,Θωμᾶ ὁσίου τοῦ ἐν Μαλεῷ
07-08,Saint,Great-martyr Procopios,Προκοπίου μεγαλομάρτυρος
07-08,Saint,Ven. Theophilos the Myrrhgusher of Mt. Athos,"Θεοφίλου μυροβλύτου, τοῦ Ἀθωνίτου"
07-09,Saint,Hieromartyr Pancratios of Taormina,"Παγκρατίου ἱερομάρτυρος, ἐπισκόπου Ταυρομενίας"
07-10,Saint,45 Martyrs of Nicopolis in Armenia,Τῶν ἐν Νικοπόλει τῆς Ἀρμενίας 45 μαρτύρων
07-10,Saint,Anthony of Kiev Caves,Ἀντωνίου τῶν Σπηλαίων Κιέβου
07-11,Saint,Great-martyr Euphemia,Εὐφημίας μεγαλομάρτυρος
07-11,Saint,"Princess Olga, Equal-to-the-Apostles",Ὄλγας Βασιλίσσης τῆς ἰσαποστ.
07-11,Saint,Ven. Sophrony of Essex,Σωφρονίου ὁσίου τοῦ Ἔσσεξ
07-12,Saint,Martyrs Proclos & Hilary,Πρόκλου & Ἱλαρίου μαρτύρων
07-12,Saint,"Veronica, woman with the issue of blood",Βερονίκης τῆς αἱμορροούσης
07-12,Saint,Ven. Paisios of Mt. Athos,Παϊσίου ὁσίου τοῦ Ἀθωνίτου
07-13,Saint,Synaxis of the Archangel Gabriel,Ἡ σύναξις Ἀρχαγγέλου Γαβριὴλ
07-13,Saint,Ven. Stephen of St. Savva’s Monastery,Στεφάνου ὁσίου τοῦ Σαββαΐτου
07-14,Saint,Apostle Aquila of the 70,Ἀκύλα ἀποστόλου ἐκ τῶν 70
07-14,Saint,Ven. Nikodemos of Mt. Athos,Νικοδήμου ὁσίου τοῦ Ἁγιορείτου
07-15,Saint,Martyrs Kyricos & Julitta,Κηρύκου & Ἰουλίττης μαρτύρων
07-15,Saint,"Prince Vladimir, Eq.-to-the-Apostles","Βλαδιμήρου πρίγκηπος τῆς Ρωσσίας, τοῦ ἰσαποστόλου"
07-16,Saint,Hierom. Athenogenes & his disciples,Ἀθηνογένους ἱερομάρτυρος & τῶν σὺν αὐτῷ
07-17,Saint,Great-martyr Marina,Μαρίνης μεγαλομάρτυρος
07-17,Saint,Royal Martyrs of Russia,Τῶν Βασιλομαρτύρων τῆς Ρωσσίας
07-18,Saint,Martyr Emilian,Αἰμιλιανοῦ μάρτυρος
07-18,Saint,Ven. Pambo,Παμβὼ τοῦ ὁσίου
07-18,Saint,Martyrs Grand Duchess Elizabeth & Nun Barbara,Ἐλισάβετ τῆς Μεγάλης Δουκίσσης & Βαρβάρας μοναχῆς τῶν μαρτύρων
07-19,Saint,"Ven. Macrina, sister of St. Basil the Great","Μακρίνης ὁσίας, ἀδελφῆς τοῦ Μεγάλου Βασιλείου"
07-19,Saint,Translation of the relics of St. Seraphim of Sarov,Ἀνακ. λειψ. Σεραφεὶμ τοῦ Σαρώφ
07-20,Saint,Prophet Elijah,Ἠλιοὺ προφήτου τοῦ Θεσβίτου
07-21,Saint,Ven. Symeon fool-for-Christ & John,Συμεὼν τοῦ διὰ Χριστὸν σαλοῦ & Ἰωάννου τῶν ὁσίων
07-21,Saint,Ven. Onuphrios of Kiev Caves,Ὀνουφρίου ὁσίου τῶν Σπηλαίων τοῦ Κιέβου
07-22,Saint,"Myrrh-bearer Mary Magdalene, Equal-to-the-Apostles","Μαρίας τῆς Mαγδαληνῆς, μυροφόρου & ἰσαποστόλου"
07-22,Saint,Virgin-martyr Markella,Μαρκέλλης παρθενομάρτυρος
07-23,Saint,Trans. of the relics of hieromartyr Phocas,Ἀνακ. λειψ. Φωκᾶ ἱερομάρτυρος
07-23,Saint,Prophet Ezekiel,Ἰεζεκιὴλ τοῦ προφήτου
07-24,Saint,Great-martyr Christina,Χριστίνης μεγαλομάρτυρος
07-24,Saint,Passionbearers Boris & Gleb,"Βόριδος & Γκλέμπ ἀθλοφόρων, τῶν Ρώσσων"
07-25,Saint,"Dormition of St. Anna, mother of the Theotokos","Κοίμησις τῆς Ἁγ. Ἄννης, μητρὸς τῆς Θεοτόκου"
07-25,Saint,Olympiada the Deaconess,Ὀλυμπιάδος τῆς διακόνου
07-25,Saint,Ven. Efpraxia,Εὐπραξίας ὁσίας
07-26,Saint,Hierom. Hermolaos & his companions,Ἑρμολάου ἱερομάρτυρος & τῶν σὺν αὐτῷ
07-26,Saint,Martyr Paraskevi,Παρασκευῆς ὁσιομάρτυρος
07-27,Saint,Great-martyr & healer Panteleimon,Παντελεήμονος μεγαλομάρτυρος & ἰαματικοῦ
07-27,Saint,Ven. Anthousa the Confessor,Ἀνθούσης ὁσ. τῆς ὁμολογητρίας
07-28,Saint,"Prochoros, Nicanor, Timon & Parmenas, Deacons & Apostles of the 70","Προχόρου, Νικάνορος, Τίμωνος,  Παρμενᾶ, τῶν διακόνων & ἀποστόλων ἐκ τῶν 70"
07-28,Saint,Irene of Chrysovalantou,Εἰρήνης Χρυσοβαλάντου
07-29,Saint,Martyr Kallinikos,Καλλινίκου μάρτυρος
07-29,Saint,Martyr Theodota & her three sons,Θεοδότης μάρτυρος & τῶν τριῶν τέκνων αὐτῆς
07-30,Saint,"Apostles Silas, Silouanos, Crescens, Epenetos & Andronikos of the 70","Σίλα, Σιλουανοῦ, Κρήσκεντος, Ἐπαινετοῦ & Ἀνδρονίκου ἐκ τῶν 70 ἀπ."
07-31,Saint,Righteous Evdokimos,Εὐδοκίμου τοῦ δικαίου
07-31,Saint,Joseph of Arimathea,Ἰωσὴφ τοῦ ἀπὸ Ἀριμαθαίας
08-01,Note,Dormition Fast Begins,Ἀρχὴ νηστείας τοῦ Δεκαπενταυγούστου
08-01,Saint,Procession of the Precious Cross,Πρόοδος τοῦ Τιμίου Σταυροῦ
08-01,Saint,Seven Maccabees,Τῶν ἑπτὰ παίδων τῶν Μακκαβαίων
08-02,Saint,Translation of the relics of Protomartyr Stephen,Ἀνακομιδὴ τῶν λειψάνων τοῦ πρωτομάρτυρος Στεφάνου
08-03,Saint,"Ven. Isaac, Dalmatos & Faustos","Δαλμάτου, Φαύστου & Ἰσαακίου τῶν ὁσίων"
08-03,Saint,Myrrh-bearer Salome,Σαλώμης τῆς Μυροφόρου
08-03,Saint,Ven. Theodora of Thessalonica,Θεοδώρας ὁσίας τῆς ἐν Θεσσαλονίκῃ
08-04,Saint,Seven Youths of Ephesus,Τῶν ἐν Ἐφέσῳ ἑπτὰ παίδων
08-04,Saint,Martyr Evdokia,Εὐδοκίας ὁσιομάρτυρος
08-05,Saint,Martyr Evsignios,Εὐσιγνίου μάρτυρος
08-05,Saint,"Righteous Nonna, mother of St. Gregory the Theologian","Νόννης, μητρὸς Γρηγορίου τοῦ Θεολόγου"
08-06,Feast,Transfiguration of Our Savior,Ἡ Μεταμόρφωσις τοῦ Σωτῆρος ἡμῶν Ἰησοῦ Χριστοῦ
08-07,Saint,Hieromartyr Dometios the Persian,Δομετίου ὁσιομάρτυρος τοῦ Πέρσου
08-07,Saint,Nicanor the Wonderworker,Νικάνορος τοῦ Θαυματουργοῦ
08-08,Saint,"Emilian, bishop of Cyzicos","Αἰμιλιανοῦ, ἐπισκόπου Κυζίκου"
08-08,Saint,"Myron, bishop of Crete","Μύρωνος, ἐπισκόπου Κρήτης"
08-08,Saint,New-martyr Triandafyllos of Zagora,Τριανταφύλλου νεομάρτυρος Ζαγορᾶς
08-09,Saint,Apostle Matthias,Ματθίου τοῦ ἀποστόλου
08-09,Saint,Ven. Psoes of Egypt,Ψόη ὁσίου τοῦ Αἰγυπτίου
08-10,Saint,Hieromartyrs Archdeacon Lawrence & Sixtus pope of Rome,"Λαυρεντίου ἀρχιδιακόνου & Ξύστου πάπα Ρώμης, τῶν ἱερομαρτύρων"
08-11,Saint,Martyr Euplos the Deacon,Εὔπλου μάρτυρος τοῦ διακόνου
08-11,Saint,"Niphon, patriarch of Constantinople","Νήφωνος, Πατρ. ΚΠόλεως"
08-12,Saint,Martyrs Photios & Anikitos,Φωτίου & Ἀνικήτου μαρτύρων
08-12,Saint,Ven. Palamon of Egypt,Παλάμωνος ὁσ. τοῦ Αἰγυπτίου
08-13,Saint,Maximos the Confessor,Μαξίμου τοῦ ὁμολογητοῦ
08-13,Saint,Dorotheos & Dositheos of Gaza,Δωροθέου & Δοσιθέου Γάζης
08-13,Saint,Tikhon of Zadonsk,Τύχωνος τοῦ Ζαντόνσκ
08-14,Saint,Prophet Micah,Μιχαίου τοῦ προφήτου
08-14,Saint,Hieromartyr Markellos of Apamea,"Μαρκέλλου ἱερομάρτυρος, ἐπισκόπου Ἀπαμείας"
08-15,Feast,Dormition of the Most Holy Theotokos,Ἡ Κοίμησις τῆς Ὑπεραγίας Θεοτόκου
08-16,Saint,Icon of Our Lord Not-Made-By-Hands,Τοῦ Ἁγίου Μανδηλίου
08-16,Saint,Martyr Diomedis the Healer,Διομήδους μάρτ. τοῦ ἰαματικοῦ
08-16,Saint,Ven. Joseph the Hesychast,Ἰωσήφ ὁσίου τοῦ Ἡσυχαστοῦ
08-17,Saint,Hieromartyr Myron,Μύρωνος ἱερομάρτυρος
08-17,Saint,Martyrs Paul & Julianna,Παύλου & Ἰουλιανῆς μαρτύρων
08-18,Saint,Martyrs Floros & Lauros,Φλώρου & Λαύρου μαρτύρων
08-18,Saint,Ven. John of Rila,Ἰωάννου ὁσίου τῆς Ρίλας
08-19,Saint,"Great-martyr Andrew the Commander & the 2,593 soldiers with him",Ἀνδρέου τοῦ στρατηλάτου & τῶν σὺν αὐτῷ 2.593 μαρτύρων
08-20,Saint,Prophet Samuel,Σαμουὴλ τοῦ προφήτου
08-20,Saint,"Martyr Lucios, the Senator of Cyprus","Λουκίου μάρτυρος, τοῦ βουλευτοῦ Κύπρου"
08-21,Saint,Apostle Thaddeus,Θαδδαίου τοῦ ἀποστόλου
08-21,Saint,Martyr Vassa & her three sons,Βάσσης μάρτυρος & τῶν τέκνων αὐτῆς
08-22,Saint,Martyr Agathonicos & his companions,Ἀγαθονίκου μάρτυρος & τῶν σὺν αὐτῷ
08-22,Saint,Virgin-martyr Eulalia,Εὐλαλίας τῆς παρθενομάρτυρος
08-22,Saint,Icon of the Theotokos of Prusa,Εἰκόνος τῆς Παναγίας τῆς “Προυσιωτίσσης”
08-23,Saint,Martyr Lupos,Λούππου μάρτυρος
08-23,Saint,Icon of the Theotokos Parigoritissa,Εἰκόνος τῆς Παναγίας τῆς “Παρηγορητίσσης”
08-24,Saint,"Hieromartyr Cosmas of Aetolia, Equal-to-the-Apostles","Κοσμᾶ τοῦ Αἰτωλοῦ, ἱερομάρτυρος & ἰσαποστόλου"
08-25,Saint,Translation of relics of Apostle Bartholomew,Μετακομιδὴ τῶν λειψάνων τοῦ ἀποστόλου Βαρθολομαίου
08-25,Saint,"Titus, bishop of Crete, apostle of the 70","Τίτου ἐπ. Κρήτης, ἀπ. ἐκ τῶν 70"
08-26,Saint,Martyrs Adrian & Natalie,Ἀδριανοῦ & Ναταλίας τῶν μαρτύρων
08-26,Saint,"Ven. Ioasaph, king of India","Ἰωάσαφ ὁσίου, Βασιλέως Ἰνδῶν "
08-27,Saint,Poemen the Great,Ποιμένος τοῦ Μεγάλου
08-27,Saint,Martyr Phanurios,Φανουρίου μεγαλομάρτυρος
08-27,Saint,"Hosios, bishop of Cordova","Ὁσίου, ἐπισκόπου Κορδούης"
08-28,Saint,Ven. Moses the Ethiopian,"Μωϋσέως ὁσίου, τοῦ Αἰθίοπος"
08-28,Saint,"Righteous Hezekiah, king of Judah","Δικαίου Ἐζεκία, βασιλέως τοῦ Ἰούδα"
08-29,Saint,Beheading of St. John the Baptist,Ἡ ἀποτομὴ τῆς τιμίας κεφαλῆς Ἰωάννου τοῦ Προδρόμου
08-30,Saint,"Alexander, John & Paul the New,  patr. of Constantinople","Ἀλεξάνδρου, Ἰωάννου & Παύλου, Πατριαρχῶν ΚΠόλεως"
08-31,Saint,Placing of Sash of the Theotokos,Ἡ Κατάθεσις τῆς Τιμίας Ζώνης τῆς Ὑπεραγίας Θεοτόκου
09-01,Saint,Beginning of the Ecclesiastical Year,Ἀρχὴ τῆς Ἰνδίκτου
09-01,Saint,Symeon the Stylite & his mother Martha,Συμεὼν τοῦ Στυλίτου & Μάρθας τῆς μητρὸς αὐτοῦ
09-01,Saint,Icon of the Theotokos Pammakaristos,Εἰκόνος τῆς Παναγίας τῆς “Παμμακαρίστου”
09-02,Saint,Martyr Mamas,Μάμαντος μάρτυρος
09-02,Saint,"John the Faster, patriarch of Constantinople","Ἰωάννου τοῦ νηστευτοῦ, Πατριάρχου ΚΠόλεως "
09-03,Saint,Hieromartyr Anthimos,Ἀνθίμου ἱερομάρτυρος
09-03,Saint,"Translation of the relics of St. Nectarios, bishop of Pentapolis","Ἀνακομιδὴ τῶν λειψάνων τοῦ ἁγ. Νεκταρίου, ἐπ. Πενταπόλεως"
09-04,Saint,Prophet Moses,Μωϋσέως τοῦ προφήτου 
09-04,Saint,Hieromartyr Babylas,Βαβύλα ἱερομάρτυρος
09-04,Saint,Martyr Hermione,Ἑρμιόνης μάρτυρος
09-05,Saint,"Prophet Zacharias, father of St. John the Baptist","Ζαχαρίου τοῦ προφήτου, πατρὸς Ἰωάννου τοῦ Προδρόμου"
09-06,Saint,Miracle of the Archangel Michael at Chonae,Ἀνάμνησις τοῦ ἐν Χώναις θαύματος τοῦ Ἀρχαγγέλου Μιχαήλ
09-07,Saint,Martyr Sozon,Σώζοντος μάρτυρος
09-07,Saint,Cassiani the Hymnographer,Κασσιανῆς τῆς ὑμνογράφου
09-08,Feast,Nativity of the Most Holy Theotokos,Τὸ Γενέσιον τῆς Ὑπεραγίας Θεοτόκου
09-09,Saint,Right. Joachim & Anna,Σύναξις Ἰωακεὶμ & Ἄννης
09-09,Saint,Commem. of the Fathers of the 3rd Ecumenical Council,Μνήμη τῶν Πατέρων τῆς Γ΄ Οἰκουμενικῆς Συνόδου
09-10,Saint,"Martyrs Menodora, Metrodora & Nymphodora","Μηνοδώρας, Μητροδώρας & Νυμφοδώρας τῶν μαρτύρων"
09-10,Saint,Pulcheria the Empress,Πουλχερίας τῆς Βασιλίσσης
09-11,Saint,Theodora of Alexandria,Θεοδώρας Ἀλεξανδρείας
09-11,Saint,Euphrosynos the Cook,Εὐφροσύνου τοῦ μαγείρου
09-12,Saint,Hieromartyr Autonomos,Αὐτονόμου ἱερομάρτυρος
09-12,Saint,Hieromartyr Coronatos of Iconium,"Κουρνούτου ἱερομάρτυρος, ἐπισκόπου Ἰκονίου"
09-13,Saint,Consecration of the Church of the Resurrection at Jerusalem,Ἐγκαίνια τοῦ ἐν Ἱερουσαλήμ ναοῦ τῆς Ἀναστάσεως
09-13,Saint,Hieromartyr Cornelios the Centurion,Κορνηλίου ἑκατοντάρχου
09-14,Feast,Elevation of the Precious and Life-Giving Cross,Ἡ Ὕψωσις τοῦ Τιμίου καὶ Ζωοποιοῦ Σταυροῦ
09-15,Saint,Great-martyr Nicetas the Goth,Νικήτα μεγαλομάρτυρος τοῦ Γότθου
09-15,Saint,"Symeon, archbishop of Thessalonica","Συμεών, ἀρχιεπ. Θεσσαλονίκης"
09-16,Saint,Great-martyr Euphemia,Εὐφημίας μεγαλομάρτυρος
09-16,Saint,Martyr Ludmilla,Λουδμίλλας μάρτυρος Τσεχίας
09-17,Saint,"Martyrs Sophia, Faith, Hope & Love","Σοφίας, Πίστεως, Ἐλπίδος & Ἀγάπης τῶν μαρτύρων"
09-17,Saint,Hieromartyrs Heraclidios & Myron of Cyprus,"Ἡρακλειδίου & Μύρωνος, ἱερομαρτύρων τῆς Κύπρου"
09-18,Saint,"Eumenios, bishop of Gortynia","Εὐμενίου, ἐπισκόπου Γορτύνης"
09-18,Saint,Martyr Ariadni,Ἀριάδνης μάρτυρος
09-19,Saint,"Martyrs Trophimos, Savvatios & Dorymedon","Τροφίμου, Σαββατίου & Δορυμέδοντος τῶν μαρτύρων"
09-20,Saint,Gr. martyr Eustathios & his family,Εὐσταθίου μεγαλομάρτυρος & τῶν σὺν αὐτῷ
09-21,Saint,Apostle Codratos of the 70,Κοδράτου ἀποστόλου ἐκ τῶν 70
09-21,Saint,Prophet Jonah,Ἰωνᾶ τοῦ προφήτου
09-22,Saint,Hieromartyr Phocas,Φωκᾶ ἱερομάρτυρος
09-22,Saint,"26 martyrs of Zographou Monastery, Mt. Athos, martyred by the Latins",Τῶν ἐν τῇ Μονῇ Ζωγράφου 26 μαρτύρων τῶν ὑπὸ Λατίνων μαρτυρησάντων
09-23,Saint,Conception of St. John the Baptist,Σύλληψις τοῦ Τιμίου Προδρόμου
09-23,Saint,Ven. Xanthippi & Polyxeni,Ξανθίππης & Πολυξένης τῶν ὁσίων
09-24,Saint,"First Woman-Martyr Thecla, Equal-to-the Apostles",Θέκλης πρωτομάρτυρος & ἰσαπόστολου
09-24,Saint,Ven. Silouan the Athonite,Σιλουανοῦ ὁσίου τοῦ Ἀθωνίτου
09-25,Saint,Ven. Euphrosyne of Alexandria,Εὐφροσύνης ὁσίας
09-25,Saint,Monk-martyr Paphnutios,Παφνουτίου ὁσιομάρτυρος
09-25,Saint,Ven. Sergios of Radonezh,Σεργίου ὁσίου τοῦ Ραντονέζ
09-26,Saint,Apostle John the Theologian,Ἰωάννου τοῦ Θεολόγου & Εὐαγγελιστοῦ
09-26,Saint,Righteous Gideon,Γεδεὼν τοῦ δικαίου
09-27,Saint,Martyr Callistratos & his companions,Καλλιστράτου μάρτυρος & τῶν σὺν αὐτῷ
09-27,Saint,"Apostles Aristarchos, Zenas, Mark of the 70","Ἀριστάρχου, Μάρκου & Ζήνωνος ἐκ τῶν 70 ἀπ."
09-28,Saint,Chariton the Confessor,Χαρίτωνος τοῦ ὁμολογητοῦ
09-28,Saint,Prophet Baruch,Βαρούχ τοῦ προφήτου
09-28,Saint,Neophytos the Recluse of Cyprus,Νεοφύτου τοῦ ἐγκλείστου τῆς Κύπρου
09-29,Saint,Kyriakos the anchorite,Κυριακοῦ τοῦ ἀναχωρητοῦ
09-29,Saint,Gr. martyr Govdelaas,Γοβδελαᾶ τοῦ μεγαλομάρτυρος
09-29,Saint,Martyr Gudelia of Persia,Γουδελίας μάρτυρος τῆς Περσίδος
09-30,Saint,Hieromartyr Gregory of Armenia,"Γρηγορίου ἱερομάρτυρος, ἐπισκ. Ἀρμενίας"
09-30,Saint,Martyrs Rhipsimia & Gaiani,Ριψιμίας & Γαϊανῆς τῶν μαρτύρων
10-01,Saint,Holy Protection of the Mother of God,Ἡ Ἁγία Σκέπη τῆς Θεοτόκου
10-01,Saint,Apostle Ananias of the 70,Ἀνανίου ἐκ τῶν 70 ἀποστόλων
10-01,Saint,Romanos the Melodist,Ῥωμανοῦ τοῦ μελωδοῦ
10-02,Saint,Hieromartyr Cyprian and Virgin-martyr Justina,Κυπριανοῦ ἱερομάρτυρος & Ἰουστίνης παρθενομάρτυρος
10-03,Saint,Hieromartyr Dionysios the Areopagite,Διονυσίου ἱερομάρτυρος τοῦ Ἀρεοπαγίτου
