Date,Type,English,Greek
01-29,Saint,Translation of the relics of Ignatios the Godbearer,Ἀνακομιδὴ τῶν λειψάνων ἁγίου Ἰγνατίου τοῦ Θεοφόρου
01-29,Saint,Ven. Andrew Rublev,"Ἀνδρέου Ρουμπλιώφ, ὁσίου"
01-30,Saint,Three Hierarchs,Τῶν Τριῶν Ἱεραρχῶν
01-30,Saint,Martyr Chrysi,Χρυσῆς μάρτυρος
01-31,Saint,Unmercenaries Cyros & John,Κύρου & Ἰωάννου τῶν Ἀναργύρων
01-31,Saint,Arsenios of Paros,Ἀρσενίου τοῦ ἐν Πάρῳ
02-01,Saint,Martyr Tryphon,Τρύφωνος μάρτυρος
02-01,Saint,Martyr Perpetua,Περπετούας μάρτυρος
02-02,Feast,Meeting of Our Lord Jesus Christ,Ἡ Ὑπαπαντὴ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ
02-02,Saint,Martyr Agathodoros,Ἀγαθοδώρου μάρτυρος
02-03,Saint,Symeon the Godreceiver,Συμεών τοῦ Θεοδόχου
02-03,Saint,Anna the Prophetess,Ἄννης τῆς προφήτιδος
02-03,Saint,"Nicholas, enlightener of Japan","Νικολάου, φωτιστοῦ Ἰαπωνίας"
02-04,Saint,Ven. Isidore of Pelusium,Ἰσιδώρου ὁσ. τοῦ Πηλουσιώτου
02-04,Saint,Hieromartyr Abramios,Ἀβραμίου ἱερομάρτυρος
02-04,Saint,Nicholas the confessor of the Studion Monastery,Νικολάου ὁμολογητοῦ τοῦ Στουδίτου
02-05,Saint,Martyr Agatha,Ἀγάθης μάρτυρος
02-05,Saint,Ven. Theodosios of Skopelos,Θεοδοσίου ὁσίου τοῦ ἐν Σκοπέλῳ
02-06,Saint,"Photios, patriarch of Constantinople","Φωτίου, Πατριάρχου ΚΠόλεως"
02-06,Saint,Ven. Barsanouphios & John of Gaza,Βαρσανουφίου & Ἰωάννου τῶν ἐν Γάζῃ ὁσίων
02-07,Saint,"Parthenios, bishop of Lampsacos","Παρθενίου, ἐπισκ. Λαμψάκου"
02-07,Saint,1003 Martyrs of Nicomedia,Τῶν ἐν Νικομηδείᾳ 1003 μαρτύρων
02-08,Saint,Great-martyr Theodore the General,"Θεοδώρου τοῦ Στρατηλάτου, τοῦ μεγαλομάρτυρος"
02-08,Saint,Prophet Zachariah,Ζαχαρίου τοῦ προφήτου
02-09,Saint,Martyr Nikiphoros,Νικηφόρου μάρτυρος
02-09,Saint,"Pancratios, bishop of Taormina","Παγκρατίου, ἐπισκόπου Ταυρομενίας"
02-10,Saint,Hierom. Charalampos,Χαραλάμπους ἱερομάρτυρος
02-10,Saint,Ven. Scholastika,Σχολαστικῆς ὁσίας
02-11,Saint,Hieromartyr Blaise of Sebaste,"Βλασίου ἱερομάρτυρος, τοῦ ἐκ Σεβαστείας"
02-11,Saint,Empress Theodora,Θεοδώρας τῆς Αὐγούστης
02-12,Saint,"Meletios, archbishop of Antioch","Μελετίου, ἀρχιεπισκόπου Ἀντιοχείας"
02-12,Saint,New-martyr Christos the Gardener,"Χρήστου νεομάρτυρος, τοῦ κηπουροῦ"
02-13,Saint,Ven. Martinian,Μαρτινιανοῦ ὁσίου
02-13,Saint,Apost. Aquila & Priscilla,Ἀκύλα & Πρισκίλλης τῶν ἀπ.
02-13,Saint,Ven. Symeon the Myrrh-gusher,Συμεών τοῦ μυροβλύτου
