Reference,Offset,Type,Book,Verse,Note
SUNaE,109,GOSPEL,Mark,12:38-44,"16th week of Luke, Thursday"
SUNaE,110,GOSPEL,Mark,13:1-8,"16th week of Luke, Friday"
SUNaE,111,GOSPEL,Luke,18:2-8,"16th week of Luke, Saturday"
L1,0,GOSPEL,Luke,5:1-11,"1st week of Luke, Sunday"
L2,0,GOSPEL,Luke,6:31-36,"2nd week of Luke, Sunday"
L3,0,GOSPEL,Luke,7:11-16,"3rd week of Luke, Sunday"
L4,0,EPISTLE,Titus,3:8-15,"4th week of Luke, Sunday Holy Fathers of 7th Ecumenical Council"
L4,0,GOSPEL,Luke,8:5-15,"4th week of Luke, Sunday Holy Fathers of 7th Ecumenical Council"
L5,0,GOSPEL,Luke,16:19-31,"5th week of Luke, Sunday"
L6,0,GOSPEL,Luke,8:27-39,"6th week of Luke, Sunday"
L7,0,GOSPEL,Luke,8:41-56,"7th week of Luke, Sunday"
L8,0,GOSPEL,Luke,10:25-37,"8th week of Luke, Sunday"
L9,0,GOSPEL,Luke,12:16-21; 8:8,"9th week of Luke, Sunday"
L10,0,GOSPEL,Luke,13:10-17,"10th week of Luke, Sunday"
L11,0,EPISTLE,Colossians,3:4-11,Sunday of the Holy Ancestors
L11,0,GOSPEL,Luke,14:16-24,"11th week of Luke, Sunday, Sunday of the Holy Ancestors"
L11,0,GOSPEL,Matthew,22:14,"11th week of Luke, Sunday, Sunday of the Holy Ancestors"
L13,0,GOSPEL,Luke,18:18-27,"13th week of Luke, Sunday"
SATbN,0,EPISTLE,Galatians,3:8-12,Saturday before Nativity
SATbN,0,GOSPEL,Luke,13:19-29,Saturday before Nativity
SUNbN,0,EPISTLE,Hebrews,"11:9-10, 32-40",Sunday before Nativity
SUNbN,0,GOSPEL,Matthew,1:1-25,Sunday before Nativity
SATaN,0,EPISTLE,1 Timothy,6:11-16,Saturday after Nativity
SATaN,0,GOSPEL,Matthew,12:15-21,Saturday after Nativity
SUNaN,0,EPISTLE,Galatians,1:11-19,Sunday after Nativity
SUNaN,0,GOSPEL,Matthew,2:13-23,Sunday after Nativity
SATbT,0,EPISTLE,1 Timothy,3:13-4:5,Saturday before Theophany
SATbT,0,GOSPEL,Matthew,3:1-6,Saturday before Theophany
SUNbT,0,EPISTLE,2 Timothy,4:5-8,Sunday before Theophany
SUNbT,0,GOSPEL,Mark,1:1-8,Sunday before Theophany
SATaT,0,EPISTLE,Ephesians,6:10-17,Saturday after Theophany
SATaT,0,GOSPEL,Matthew,4:1-11,Saturday after Theophany
SUNaT,0,EPISTLE,Ephesians,4:7-13,Sunday after Theophany
SUNaT,0,GOSPEL,Matthew,4:12-17,Sunday after Theophany
L12,0,GOSPEL,Luke,17:12-19,"12th week of Luke, Gap Sunday"
L14,0,GOSPEL,Luke,18:35-43,"14th week of Luke, Gap Sunday"
M15,0,GOSPEL,Matthew,22:35-46,"15th week of Matthew, Gap Sunday"
M16,0,GOSPEL,Matthew,25:14-30,"16th week of Matthew, Gap Sunday"
M16,0,GOSPEL,Luke,8:8,"16th week of Matthew, Gap Sunday"
L15,0,GOSPEL,Luke,19:1-10,"Zaccheos, Gap Sunday"
M17,0,GOSPEL,Matthew,15:21-28,"17th week of Matthew, Gap Sunday"
