PaschaOffset,Date,Category,Type,English,Greek
,,Immovable,Saint,Martyr Agathangelos,Ἀγαθαγγέλου μάρτυρος
,,,,,
,,Immovable,Saint,Xenia of Rome,Ξένης τῆς Ρωμαίας
,,Immovable,Saint,Hieromartyr Babylas,Βαβύλα ἱερομάρτυρος
,,Immovable,Saint,"Xenia, fool-for-Christ of St. Petersburg",Ξένης τῆς διά Χριστὸν σαλῆς ἐκ τῆς  Ἁγ. Πετρουπόλεως
,,Immovable,Saint,Ven. Fathers of Philotheou,Ὅσ. Πατέρων Ι.Μ. Φιλοθέου
,,,,,
,,Movable,Feast,15th Sunday of Luke,ΙΕ΄ Λουκᾶ
,,Immovable,Saint,Gregory the Theologian,Γρηγορίου τοῦ Θεολόγου
,,Immovable,Saint,Ven. Publius,Πουπλίου ὁσίου
,,,,,
,,Immovable,Saint,"Xenophon, Mary, John & Arcadios","Ξενοφῶντος, Μαρίας, Ἰωάννου & Ἀρκαδίου"
,,Immovable,Saint,Ven. Ammon of Egypt,Ἀμμωνᾶ ὁσίου τοῦ Αἰγυπτίου
,,,,,
,,Immovable,Saint,Translation of the relics of  St. John Chrysostom,Ἀνακομιδὴ τῶν λειψάνων ἁγίου Ἰωάννου τοῦ Χρυσοστόμου
,,Immovable,Saint,Ven. Peter of Egypt,Πέτρου ὁσίου τοῦ Αἰγυπτίου
,,,,,
,,Immovable,Saint,Ephraim the Syrian,Ἐφραίμ τοῦ Σύρου
,,Immovable,Saint,Isaac the Syrian,Ἰσαάκ τοῦ Σύρου
,,Immovable,Saint,Ven. Palladios,Παλλαδίου ὁσίου
,,,,,
,,Immovable,Saint,Translation of the relics of Ignatios the Godbearer,Ἀνακομιδὴ τῶν λειψάνων ἁγίου Ἰγνατίου τοῦ Θεοφόρου
,,Immovable,Saint,Ven. Andrew Rublev,"Ἀνδρέου Ρουμπλιώφ, ὁσίου"
,,,,,
,,Immovable,Saint,Three Hierarchs,Τῶν Τριῶν Ἱεραρχῶν
,,Immovable,Saint,Martyr Chrysi,Χρυσῆς μάρτυρος
,,,,,
,,Immovable,Saint,Unmercenaries Cyros & John,Κύρου & Ἰωάννου τῶν Ἀναργύρων
,,Immovable,Saint,Arsenios of Paros,Ἀρσενίου τοῦ ἐν Πάρῳ
,,,,,
,2025-02-01,Movable,,Sunday of Publican & Pharisee (Triodion Begins),Τελώνου & Φαρισαίου (Ἀρχὴ Τριωδίου)
,2025-02-02,,,Martyr Tryphon,Τρύφωνος μάρτυρος
,2025-02-03,,,Martyr Perpetua,Περπετούας μάρτυρος
,2025-02-04,,,,
,2025-02-05,,,Meeting of Our Lord Jesus Christ,Ἡ Ὑπαπαντὴ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ
,2025-02-06,,,Martyr Agathodoros,Ἀγαθοδώρου μάρτυρος
,2025-02-07,,,,
,2025-02-08,,,Symeon the Godreceiver,Συμεών τοῦ Θεοδόχου
,2025-02-09,,,Anna the Prophetess,Ἄννης τῆς προφήτιδος
,2025-02-10,,,"Nicholas, enlightener of Japan","Νικολάου, φωτιστοῦ Ἰαπωνίας"
,2025-02-11,,,,
,2025-02-12,,,Ven. Isidore of Pelusium,Ἰσιδώρου ὁσ. τοῦ Πηλουσιώτου
,2025-02-13,,,Hieromartyr Abramios,Ἀβραμίου ἱερομάρτυρος
,2025-02-14,,,Nicholas the confessor of the Studion Monastery,Νικολάου ὁμολογητοῦ τοῦ Στουδίτου
,2025-02-15,,,,
,2025-02-16,,,Martyr Agatha,Ἀγάθης μάρτυρος
,2025-02-17,,,Ven. Theodosios of Skopelos,Θεοδοσίου ὁσίου τοῦ ἐν Σκοπέλῳ
,2025-02-18,,,,
,2025-02-19,,,"Photios, patriarch of Constantinople","Φωτίου, Πατριάρχου ΚΠόλεως"
,2025-02-20,,,Ven. Barsanouphios & John of Gaza,Βαρσανουφίου & Ἰωάννου τῶν ἐν Γάζῃ ὁσίων
,2025-02-21,,,,
