PaschaOffset,Date,Category,Type,English,Greek
,2025-01-01,Immovable,Feast,Circumcision of Our Lord Jesus Christ,Ἡ Περιτομὴ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ
,2025-01-01,Immovable,Saint,Basil the Great,Βασιλείου τοῦ Μεγάλου
,2025-01-01,Immovable,Saint,"Gregory, bishop of Nazianzus",Γρηγορίου ἐπισκόπου Ναζιανζοῦ
,2025-01-01,Immovable,Note,New Year’s Day,Πρωτοχρονιά
,2025-01-02,Immovable,Saint,"Sylvester, pope of Rome","Σιλβέστρου, πάπα Ρώμης"
,2025-01-02,Immovable,Saint,Seraphim of Sarov,Σεραφείμ τοῦ Σαρὼφ
,2025-01-03,Immovable,Saint,Prophet Malachi,Μαλαχίου προφήτου
,2025-01-03,Immovable,Saint,Martyr Gordios,Γορδίου μάρτυρος
,2025-01-03,Immovable,Saint,Martyr Thomais,Θωμαΐδος μάρτυρος
,2025-01-04,DRS,Feast,Sunday before Theophany,Πρὸ τῶν Φώτων
,2025-01-04,Immovable,Saint,Synaxis of the 70 Apostles,Ἡ σύναξις τῶν 70 ἀποστόλων
,2025-01-04,Immovable,Saint,Ven. Theoctistos,Θεοκτίστου ὁσίου
,2025-01-04,Immovable,Saint,Ven. Nikiphoros the Leper,Νικηφόρου ὁσίου τοῦ Λεπροῦ
,2025-01-05,Immovable,Saint,Martyrs Theopemptos & Theonas,Θεοπέμπτου & Θεωνᾶ μαρτύρων
,2025-01-05,Immovable,Saint,Ven. Synclitiki,Συγκλητικῆς ὁσίας
,2025-01-05,Special,Note,Royal Hours,Μεγάλαι Ὧραι
,2025-01-05,Special,Note,Liturgy of St. Basil,Λειτουργία Μεγ. Βασιλείου
,2025-01-06,Immovable,Saint,Theophany - The Baptism of Our Lord Jesus Christ,Τὰ Ἅγια Θεοφάνεια - Ἡ Βάπτισις τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ
,2025-01-06,Immovable,Note,Blessing of Waters,Ἁγιασμὸς τῶν Ὑδάτων
,2025-01-07,Immovable,Saint,Synaxis of the Forerunner John the Baptist,Ἡ σύναξις τοῦ Προδρόμου & Βαπτιστοῦ Ἰωάννου
,2025-01-07,Immovable,Saint,New Hierom. Romanos,Ρωμανοῦ νεομάρτυρος
,2025-01-08,Immovable,Saint,George the Chozebite,Γεωργίου τοῦ Χοζεβίτου
,2025-01-08,Immovable,Saint,Domnica of Constantinople,Δομνίκης ΚΠόλεως
,2025-01-08,Immovable,Saint,Ven. Agathon,Ἀγάθωνος ὁσίου
,2025-01-09,Immovable,Saint,Martyr Polyeuctos,Πολυεύκτου μάρτυρος
,2025-01-09,Immovable,Saint,Metropolitan Philip of Moscow,"Φιλίππου, μητροπολίτου Μόσχας"
,2025-01-10,Immovable,Saint,Gregory of Nyssa,Γρηγορίου Νύσσης
,2025-01-10,Immovable,Saint,"Dometian, bishop of Melitene","Δομετιανοῦ, ἐπ. Μελιτινῆς"
,2025-01-11,DRS,Feast,Sunday after Theophany,Μετὰ τὰ Φῶτα
,2025-01-11,Immovable,Saint,Theodosios the Cenobiarch,Θεοδοσίου τοῦ Κοινοβιάρχου
,2025-01-11,Immovable,Saint,Theodosios of Philotheou Monastery,Θεοδοσίου τῆς Ἱ.Μ. Φιλοθέου
,2025-01-12,Immovable,Saint,Martyr Tatiana of Rome,Τατιανῆς μάρτυρος τῆς Ρωμαίας
,2025-01-12,Immovable,Saint,Theodora of Alexandria,Θεοδώρας Ἀλεξανδρείας
